article_url,comment_text,comment_date
https://www.thejournal.ie/government-seeking-early-warning-system-on-use-of-article-16-5350126-Feb2021/,"An early warning system implies passivity and acquiescence. Better we should have a veto, since it is our (shared) island after all.","Feb 9th 2021, 6:53 PM"
https://www.thejournal.ie/government-seeking-early-warning-system-on-use-of-article-16-5350126-Feb2021/,@Fachtna Roe: At the very least we should be consulted before making any decision.,"Feb 9th 2021, 7:16 PM"
https://www.thejournal.ie/government-seeking-early-warning-system-on-use-of-article-16-5350126-Feb2021/,"I hate to admit it but for the first time ever I am beginning to waiver badly on the EU.
Not only should they not have tried to invoke it without telling Ireland. We should have the power of veto on such a decision.
Maybe the UK was right all along","Feb 9th 2021, 7:52 PM"
https://www.thejournal.ie/government-seeking-early-warning-system-on-use-of-article-16-5350126-Feb2021/,@Mr Kayfabe: That some people on the remain side in the UK are beginning to think so too demonstrates what a huge mistake was made.,"Feb 9th 2021, 8:11 PM"
https://www.thejournal.ie/government-seeking-early-warning-system-on-use-of-article-16-5350126-Feb2021/,@Mr Kayfabe: the EU26 stuck with us throughout the 4 years leading up to brexit. It appears a couple of lawyers under pressure with the AstraZeneca affair got a bit excited and made a bad call. Barnier was the first to tackle von der Leyen. She has made a few mistakes now. The future doesn’t look good for her.,"Feb 9th 2021, 9:04 PM"
https://www.thejournal.ie/government-seeking-early-warning-system-on-use-of-article-16-5350126-Feb2021/,"The should be no seeking anything. They should release a statement saying that they understand a mistake was made; but that without consultation in future, we’re not on board. End of story.","Feb 9th 2021, 7:15 PM"
https://www.thejournal.ie/government-seeking-early-warning-system-on-use-of-article-16-5350126-Feb2021/,"A competent European Commission would not make that mistake. This is meaningless, except as an attempt to try and stop some heads from rolling over in Brussels.","Feb 9th 2021, 7:34 PM"
https://www.thejournal.ie/government-seeking-early-warning-system-on-use-of-article-16-5350126-Feb2021/,Suppose to be a 30 day notice before either side pulls the plug.,"Feb 9th 2021, 7:22 PM"
https://www.thejournal.ie/government-seeking-early-warning-system-on-use-of-article-16-5350126-Feb2021/,@John Farrant: wasn’t a cancellation of the agreement,"Feb 9th 2021, 9:18 PM"
https://www.thejournal.ie/government-seeking-early-warning-system-on-use-of-article-16-5350126-Feb2021/,Yes an early waring system that could be retro fitted to Mehole Martins desk it could be a traffic light system green normally then Orange when Arlene and the boys get more grumpy Then Red when the brown stuff hits the Fan over vaccines or even fish,"Feb 9th 2021, 7:14 PM"
https://www.thejournal.ie/government-seeking-early-warning-system-on-use-of-article-16-5350126-Feb2021/,"Just a general comment….and I’m not FF voter…but …do ppl have to keep up with this ‘mehole’ martin stuff…I dont care about who you support, but it’s just lowering yourselves and we all go on about mental health, and petty name calling is a form of bullying, so maybe time to grow up a little? Just a thought….","Feb 10th 2021, 7:56 AM"
https://www.thejournal.ie/government-seeking-early-warning-system-on-use-of-article-16-5350126-Feb2021/,A backstop for the protocol. Just give us our 6 counties back and repatriate any Unionists wgo don’t want it.,"Feb 10th 2021, 1:38 AM"
